timestamp,euler heading,euler roll,euler pitch,Quaternion x,Quaternion y,Quaternion z,Quaternion w,Magnetometro x,Magnetometro y,Magnetometro z,Giroscopio x,Giroscopio y,Giroscopio z,Acelerometro x,Acelerometro y,Acelerometro z,Aceleracion linealx,Aceleracion linealy,Aceleracion linealz,Aceleracion gravedadx,Aceleracion gravedady,Aceleracion gravedadz
1553627970.3799415,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,46.6875,-55.1875,-43.5,-0.0011111111111111111,0.0011111111111111111,0.0,-2.85,-0.12,9.34,0.01,-0.01,-0.02,-2.87,-0.1,9.37
1553627970.4201198,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,46.6875,-55.1875,-43.5,-0.0011111111111111111,0.0,-0.0011111111111111111,-2.88,-0.09,9.35,0.0,0.01,-0.01,-2.87,-0.1,9.37
1553627970.4536724,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,48.1875,-54.0625,-43.875,-0.0011111111111111111,0.0033333333333333335,0.0011111111111111111,-2.85,-0.09,9.33,0.01,0.01,-0.03,-2.87,-0.1,9.37
1553627970.4927115,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.75,-53.75,-43.5,0.0022222222222222222,0.0,0.0011111111111111111,-2.85,-0.11,9.39,0.01,0.0,0.01,-2.87,-0.1,9.37
1553627970.530336,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.75,-53.75,-43.5,0.0011111111111111111,-0.0022222222222222222,0.0011111111111111111,-2.87,-0.12,9.38,0.0,0.0,-0.01,-2.87,-0.1,9.37
1553627970.5640426,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.0625,-54.875,-43.0625,0.0,-0.0011111111111111111,0.0011111111111111111,-2.87,-0.11,9.37,0.0,0.0,0.0,-2.87,-0.1,9.37
1553627970.600746,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.0625,-53.375,-42.75,0.0011111111111111111,0.0022222222222222222,0.0,-2.87,-0.11,9.36,0.0,0.0,0.0,-2.87,-0.1,9.37
1553627970.6341345,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,46.25,-54.0625,-44.6875,-0.0011111111111111111,0.0022222222222222222,-0.0011111111111111111,-2.87,-0.12,9.34,0.0,-0.01,-0.02,-2.87,-0.1,9.37
1553627970.6707978,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,46.25,-54.0625,-44.6875,0.0,0.0022222222222222222,-0.0011111111111111111,-2.87,-0.11,9.33,0.02,0.0,0.0,-2.87,-0.1,9.37
1553627970.7044103,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.0625,-53.75,-43.875,-0.0022222222222222222,0.0,0.0,-2.87,-0.11,9.35,0.0,0.0,-0.01,-2.87,-0.1,9.37
1553627970.7435846,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.375,-54.0625,-43.0625,0.0,0.0,0.0,-2.85,-0.11,9.33,0.02,0.0,-0.03,-2.87,-0.1,9.37
1553627970.781009,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.0625,-54.0625,-44.6875,-0.0011111111111111111,-0.0011111111111111111,0.0,-2.85,-0.11,9.32,0.01,0.0,-0.04,-2.87,-0.1,9.37
1553627970.8211763,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.0625,-54.0625,-44.6875,0.0,-0.0011111111111111111,-0.0011111111111111111,-2.85,-0.1,9.36,0.0,0.0,0.01,-2.87,-0.1,9.37
1553627970.854761,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.75,-53.375,-43.0625,0.0011111111111111111,0.0,0.0011111111111111111,-2.85,-0.12,9.34,0.01,-0.01,-0.03,-2.87,-0.1,9.37
1553627970.893805,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,46.6875,-54.875,-43.5,0.0011111111111111111,0.0022222222222222222,0.0,-2.86,-0.11,9.34,0.0,0.0,-0.03,-2.87,-0.1,9.37
1553627970.9314604,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,46.6875,-54.875,-43.5,0.0,-0.005555555555555556,0.0011111111111111111,-2.85,-0.1,9.38,0.01,0.0,-0.01,-2.87,-0.1,9.37
1553627970.965038,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.0625,-55.1875,-43.5,-0.0011111111111111111,0.0,0.0,-2.85,-0.11,9.37,0.02,-0.01,0.0,-2.87,-0.1,9.37
1553627971.0015953,359.9375,-17.0,0.625,-0.00567626953125,0.14813232421875,6.103515625e-05,0.98895263671875,47.375,-53.75,-44.25,-0.0011111111111111111,-0.0011111111111111111,-0.0011111111111111111,-2.85,-0.1,9.35,0.01,-0.01,-0.04,-2.87,-0.1,9.37
